J;F;M;A;M;J;J;A;S;O;N;D;Station
0;0;0;994;2989;3636;3918;4199;3731;3138;1080;0;Drolet / Beaubien
0;0;0;0;0;0;0;0;0;78;159;0;Drolet / Faillon
0;0;0;601;1879;2013;2263;2401;2056;1753;621;0;Drolet / Gounod
0;0;0;545;1756;1920;2073;2098;1849;1511;646;0;Drolet / Jarry
0;0;0;1856;5763;5873;6337;7207;7487;6446;2673;0;Drolet / Laurier
0;0;0;1556;5165;5724;6124;6367;6705;5852;2257;0;Drolet / Marie-Anne
0;0;0;893;2493;2752;3025;3123;3115;2817;1071;0;Drolet / St-Zotique
0;0;0;1312;4210;4868;4429;4120;4043;3196;1125;0;Drummond / de Maisonneuve
0;0;0;0;844;1399;1403;1258;2125;3329;1186;0;Drummond / Sherbrooke
0;0;0;1093;3990;4771;5022;5174;4972;4017;1307;0;Drummond / Ste-Catherine
0;0;0;480;1732;2055;2503;2357;2108;1389;532;0;du Champ-de-Mars / Gosford
0;0;0;712;2355;2595;3212;3199;2743;1850;625;0;du Havre / de Rouen
0;0;0;0;0;0;0;48;63;38;15;0;du Mans / des Alouettes
0;0;0;724;2293;2584;2613;2637;2538;2112;624;0;du Mont-Royal / Augustin-Frigon
0;0;0;3525;11277;13237;14691;15485;15614;13197;5197;0;du Mont-Royal / Clark
0;0;0;0;0;0;0;0;0;46;300;0;du Mont-Royal / Laurendeau
0;0;0;1658;4798;4602;5222;5383;4491;3507;1417;0;du Parc-La Fontaine / Duluth
0;0;0;1594;5273;4971;5862;5595;4777;3384;1226;0;du Parc-La Fontaine / Roy
0;0;0;519;4494;5208;1275;288;4543;3840;1557;0;du Parc-Lafontaine / Rachel
0;0;0;1173;3114;4029;4199;4349;4556;3463;1377;0;du President-Kennedy / Union
0;0;0;857;1977;2651;2772;884;0;0;0;0;du Président-Kennedy / Jeanne-Mance
0;0;0;349;1443;1462;1585;1521;1374;891;319;0;Du Quesne / Pierre-de-Coubertin
0;0;0;847;2185;2412;2622;2692;2662;2201;831;0;du Rosaire / St-Hubert
0;0;0;52;221;122;150;202;76;93;24;0;du Souvenir / Chomedey
0;0;0;46;114;160;206;190;122;54;8;0;du Tricentenaire / Prince-Albert
0;0;0;452;1344;1484;1498;1514;1384;969;375;0;Dubois / Eadie
0;0;0;46;139;194;305;343;243;217;69;0;Duchesneau / de Marseille
0;0;0;0;0;22;7;0;0;0;0;0;Duchesneau / Marseille
0;0;0;0;0;0;0;0;0;0;0;0;Duchesneau/Marseille
0;0;0;751;1874;2150;2524;2297;1719;1347;624;0;Duke / Brennan
0;0;0;0;0;0;0;0;204;3508;1458;0;Duluth  / St-Denis
0;0;0;0;0;0;0;0;0;0;12;0;Duluth  / St-Denis (2)
0;0;0;1918;7085;6963;6580;6976;7820;5968;2118;0;Duluth / de l'Esplanade
0;0;0;0;0;0;0;0;225;0;0;0;Duluth / du Parc
0;0;0;637;1536;2419;146;0;0;0;0;0;Duluth / St-Denis
0;0;0;2461;7630;8892;9422;9988;11013;9227;3805;0;Duluth / St-Laurent
0;0;0;1109;3595;2027;0;0;0;0;0;0;Duluth /St-Denis
0;0;0;124;284;275;280;312;239;189;57;0;Dumesnil / Bélanger
0;0;0;283;1167;1378;1428;1865;2147;1927;720;0;Durocher / Beaumont
0;0;0;793;2431;2745;3062;3119;3237;2761;1092;0;Durocher / Bernard
0;0;0;987;2791;2764;2437;2593;2966;2464;1034;0;Durocher / Sherbrooke
0;0;0;241;710;888;783;828;1116;1217;521;0;Durocher / St-Viateur
0;0;0;0;0;0;0;0;533;789;264;0;Durocher / Van Horne
0;0;0;1057;3407;3848;4475;4403;3589;2653;952;0;Duvernay / Charlevoix
0;0;0;0;0;0;31;111;0;0;0;0;Dépôt Festivals ( de Maisonneuve / St-Laurent)
0;0;0;1256;3757;4245;4617;4666;4266;3479;1278;0;Dézéry / Ontario
0;0;0;559;1720;1939;2008;2067;1786;1346;520;0;Earnscliffe / Queen-Mary
0;0;0;95;482;788;959;928;664;422;145;0;Egan / Laurendeau
0;0;0;1001;2472;1820;2094;2209;2211;1721;518;0;Eleanor / Ottawa
0;0;0;299;986;1071;1448;1330;981;702;240;0;Elgar / de l'Île-des-Sœurs
0;0;0;291;740;1058;1036;1129;1107;796;263;0;Ellendale / de la Côte-des-Neiges
0;0;0;489;1283;1453;1664;1655;1433;1267;544;0;Ernest-Gendreau / du Mont-Royal
0;0;0;0;0;0;0;0;134;1551;670;0;Evans / Clark
0;0;0;0;0;243;317;312;338;222;59;0;Everett / 8e avenue
0;0;0;230;711;781;879;906;809;698;274;0;Everett / Garnier
0;0;0;801;1805;2140;2513;2764;2414;2247;854;0;Fabre / Beaubien
0;0;0;755;2404;2673;2775;3165;2697;2547;1075;0;Fabre / St-Zotique
0;0;0;0;0;0;0;747;756;721;340;0;Fabrik8 (Waverly / Jean-Talon)
0;0;0;856;2557;2872;3304;3566;3050;2384;587;0;Faillon / St-Denis
0;0;0;113;266;310;90;0;0;0;0;0;Fleury / André-Jobin
0;0;0;0;0;0;182;380;387;290;88;0;Fleury / de St-Firmin
0;0;0;209;592;643;623;482;0;0;0;0;Fleury / Lajeunesse
0;0;0;556;1656;2168;2511;2490;2260;1754;662;0;Fortune / Wellington
0;0;0;275;757;934;1067;1085;1068;729;290;0;Francis / Fleury
0;0;0;109;293;207;291;283;191;111;24;0;François-Boivin / Bélanger
0;0;0;851;2693;3173;3420;3555;3374;2673;1087;0;Fullum / de Rouen
0;0;0;720;2067;1976;2394;2401;2113;2041;944;0;Fullum / Gilford
0;0;0;593;2221;2563;2814;2934;2705;2434;952;0;Fullum / Holt
0;0;0;1112;3735;4057;4247;4324;3875;3430;1443;0;Fullum / Marie-Anne
0;0;0;658;2194;1159;2764;3049;2841;2222;796;0;Fullum / Ontario
0;0;0;741;1917;2403;701;0;0;0;0;0;Fullum / Sherbrooke
0;0;0;472;1696;2006;2095;2137;1904;1654;638;0;Fullum / Terrasse Mercure
0;0;0;308;1172;993;1246;1085;713;503;127;0;Gagne / LaSalle
0;0;0;206;750;778;959;1123;1224;791;268;0;Gare Bois-de-Boulogne
0;0;0;880;3546;4249;5092;5403;5344;3814;1489;0;Gare d'autocars de Montréal (Berri / Ontario)
0;0;0;0;0;0;0;34;39;27;18;0;Gare du Ruisseau (Dutrisac / Henri-Bourassa)
0;0;0;0;0;0;0;0;0;0;3;0;Gare Lachine (Sir George Simpson / 48e avenue)
0;0;0;0;0;0;0;210;118;108;37;0;Gare Montpellier (Muir / de la Côte-Vertu)
0;0;0;0;0;0;0;60;88;55;25;0;Gare St-Michel / Montréal-Nord (Pie-IX / 56e)
0;0;0;448;0;0;0;0;0;0;0;0;Garnier / du Mont-Royal
0;0;0;143;381;547;678;652;535;462;182;0;Garnier / Everett
0;0;0;1152;3064;3107;3545;3846;3722;3219;1347;0;Garnier / St-Grégoire
0;0;0;796;2396;2591;2845;3045;3171;2859;1067;0;Garnier / St-Joseph
0;0;0;1649;5992;6175;7170;7525;4708;3036;999;0;Gary-Carter / St-Laurent
0;0;0;588;2784;3517;3927;3055;2546;2342;955;0;Gauthier / de Lorimier
0;0;0;2292;5955;6617;6878;6924;6256;5301;2182;0;Gauthier / Papineau
0;0;0;937;2162;2359;2764;3077;2849;2457;969;0;Gauthier / Parthenais
0;0;0;439;1436;1637;1926;1792;1574;1157;457;0;Georges-Vanier / Notre-Dame
0;0;0;773;2614;3035;3381;3458;3077;2321;958;0;Gerry-Boulet / St-Grégoire
0;0;0;1343;3883;4375;4246;4132;2831;1762;659;0;Gilford / de Brébeuf
0;0;0;1062;2905;3098;3033;3102;2913;2638;991;0;Gilford / de Lanaudière
0;0;0;450;1339;1489;840;2357;2528;2150;605;0;Gilford / des Érables
0;0;0;0;178;778;618;0;0;0;0;0;Gilford / Parthenais
0;0;0;684;2784;2797;3147;4945;5469;4763;2053;0;Gilford / St-Denis
0;0;0;227;669;823;833;773;605;404;163;0;Glengarry / Graham
0;0;0;84;448;666;689;608;460;331;90;0;Gloria / Dollard
0;0;0;882;2479;2208;1236;1545;1825;2156;791;0;Gordon / Wellington
0;0;0;239;953;1185;1182;1293;1189;924;303;0;Graham / Brookfield
0;0;0;263;1029;1203;1222;1282;1148;908;347;0;Graham / Kindersley
0;0;0;304;962;1164;1228;1337;1172;977;322;0;Graham / Wicksteed
0;0;0;346;1123;1303;1585;1429;1429;973;390;0;Grand Boulevard / de Terrebonne
0;0;0;591;1706;2137;2303;2367;1779;1250;392;0;Grand Boulevard / Sherbrooke
0;0;0;603;1821;2005;979;972;796;105;0;0;Grand Trunk / d'Hibernia
0;0;0;0;0;0;0;0;0;0;4;0;Grenet / Poirier
0;0;0;431;2086;1509;1712;1609;1240;904;429;0;Grey / Sherbrooke
0;0;0;1508;5102;5939;6396;6574;7310;6168;2414;0;Guilbault / Clark
0;0;0;0;271;413;452;464;501;381;174;0;Guizot / Clark
0;0;0;616;1876;1918;2164;2190;1966;1621;602;0;Guizot / St-Denis
0;0;0;409;853;807;773;801;913;775;337;0;Guizot / St-Laurent
0;0;0;1012;3422;4279;3396;2817;3624;2705;1073;0;Guy / Notre-Dame
0;0;0;0;0;0;0;5035;6671;5554;2163;0;Guy / Sainte-Catherine
0;0;0;216;607;617;673;789;645;529;199;0;Hamel / Sauvé
0;0;0;488;1525;1781;1998;1837;1385;1125;436;0;Hamilton / Jolicoeur
0;0;0;471;1554;1874;2036;2183;2087;1537;612;0;Harvard / de Monkland
0;0;0;0;559;1404;1994;2048;2521;1894;771;0;HEC (Decelles / Jean-Brillant)
0;0;0;645;1851;2194;2379;2372;2156;1781;589;0;Henri-Julien / de Bellechasse
0;0;0;858;2657;3061;3178;3530;3176;2522;963;0;Henri-Julien / de Castelnau
0;0;0;624;1733;1991;2110;2385;2459;2096;881;0;Henri-Julien / du Carmel
0;0;0;0;0;1287;2879;3023;2403;0;0;0;Henri-Julien / Duluth
0;0;0;829;2787;2695;1527;0;1367;2407;898;0;Hickson / Wellington
0;0;0;608;1850;2057;2223;2214;1993;1516;546;0;Hillside / Ste-Catherine
0;0;0;515;1773;2033;2345;2477;2344;1896;600;0;Hochelaga / Chapleau
0;0;0;0;0;0;0;0;124;272;116;0;Hochelaga / de l'Assomption
0;0;0;452;1318;1628;1853;1701;1480;1121;414;0;Hogan / Ontario
0;0;0;448;1463;1826;2032;2176;1873;1680;657;0;Hutchison / Beaubien
0;0;0;0;0;0;239;269;0;0;0;0;Hutchison / Beaumont
0;0;0;1754;4440;4922;4903;5304;7379;6474;2655;0;Hutchison / des Pins
0;0;0;943;4579;4693;4806;6075;6927;5527;2498;0;Hutchison / Prince-Arthur
0;0;0;297;1311;1708;1808;2169;2837;2183;781;0;Hutchison / Sherbrooke
0;0;0;286;753;985;1894;2824;2214;1465;554;0;Hutchison / Van Horne
0;0;0;496;1548;1003;6;0;0;0;0;0;Hutchison/ Van Horne
0;0;0;746;2253;2183;2304;2468;2642;2080;808;0;Hélène-Baillargeon / St-Denis
0;0;0;601;1961;2261;2201;2279;931;748;293;0;Hôpital général juif (de la Côte Ste-Catherine / Légaré)
0;0;0;0;0;0;0;0;365;740;317;0;Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré)
0;0;0;523;1673;1799;1921;2169;1820;1378;476;0;Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain)
0;0;0;93;401;424;465;430;401;277;88;0;Hôpital Sacré-Coeur (Forbes)
0;0;0;295;916;715;514;518;424;636;297;0;Hôpital Santa Cabrini (St-Zotique / Jeanne-Jugan)
0;0;0;0;0;0;0;0;214;603;257;0;Irene / St-Jacques
0;0;0;0;0;0;0;170;254;179;65;0;IUSMM (Georges-Villeneuve)
0;0;0;528;1609;1637;1847;1894;1769;1384;563;0;Jacques-Casault / Christophe-Colomb
0;0;0;306;881;1219;1364;1344;1065;758;239;0;Jacques-Le Ber / de la Pointe Nord
0;0;0;1916;6742;5793;6521;5961;5896;4311;1048;0;Jardin Botanique (Pie-IX / Sherbrooke)
0;0;0;448;1374;1945;4136;2723;1478;798;298;0;Jean Langlois / Fullum
0;0;0;1600;5435;5496;5609;6113;5224;3711;1329;0;Jean-Brillant / de la Côte-des-Neiges
0;0;0;0;0;0;0;0;0;0;0;0;Jeanne Le Moyne / Jacques-Le Ber
0;0;0;1107;3232;3723;4629;4926;4405;3380;1194;0;Jeanne-d'Arc / Ontario
0;0;0;267;1665;1921;2306;2439;2214;1849;697;0;Jeanne-Mance / Beaubien
0;0;0;714;758;0;0;0;0;0;0;0;Jeanne-Mance / Bernard
0;0;0;1499;6629;7712;8579;9242;9283;8114;3072;0;Jeanne-Mance / Laurier
0;0;0;974;3825;4550;5225;4902;4355;2892;972;0;Jeanne-Mance / René-Lévesque
0;0;0;0;0;0;0;19;43;33;21;0;Jeanne-Mance / St-Martin O
0;0;0;1870;5579;6374;7195;7601;7537;6334;2472;0;Jeanne-Mance / St-Viateur
0;0;0;259;843;986;1451;1393;1043;709;248;0;Jogues / Allard
0;0;0;1018;3154;3660;3973;3995;3782;2669;1012;0;Joseph-Manseau / René-Lévesque
0;0;0;0;0;0;0;0;0;3;14;0;Keller / Cousineau
0;0;0;0;0;602;0;0;0;0;0;0;King / de la Commune
0;0;0;318;1364;1478;1165;1121;1071;877;363;0;Kirkfield / de Chambois
0;0;0;706;2286;2488;2771;2471;2119;1799;615;0;la Fontaine / Alexandre-de-Sève
0;0;0;134;810;1163;1786;1662;944;829;71;0;La Ronde
0;0;0;493;1621;1888;1982;2176;1748;2116;946;0;La Tour de Montréal (Pierre-de-Coubertin / Bennett)
0;0;0;1357;3580;4086;4769;5019;4968;4017;1581;0;Labadie / du Parc
0;0;0;0;0;0;0;0;0;452;232;0;Labelle / Ste-Catherine
0;0;0;144;621;1068;1019;1155;1235;905;355;0;Lacombe / Victoria
0;0;0;158;503;578;661;664;595;370;137;0;Laforest / Dudemaine
0;0;0;463;1673;1975;2123;2120;1886;1484;547;0;Lajeunesse / de Liège
0;0;0;536;1299;1598;1921;552;0;0;0;0;Lajeunesse / Jarry
0;0;0;817;2873;3169;3747;3896;3462;2942;1103;0;Lajeunesse / Villeray
0;0;0;0;110;86;119;151;144;151;50;0;Langelier / Marie-Victorin
0;0;0;41;263;454;603;552;487;282;114;0;Lapierre / Serge
0;0;0;940;2761;3379;3481;3778;3821;3226;1351;0;Larivière / de Lorimier
0;0;0;271;914;875;1019;954;638;467;140;0;LaSalle / 37e avenue
0;0;0;307;841;883;822;660;503;267;114;0;LaSalle / 80e avenue
0;0;0;17;250;280;270;267;200;109;37;0;LaSalle / 90e avenue
0;0;0;397;1186;1196;1339;1205;920;555;166;0;LaSalle / Crawford
0;0;0;540;1559;1757;2066;2117;1396;1018;377;0;LaSalle / Godin
0;0;0;1511;3703;4379;4650;3428;2679;2474;1004;0;Laurier / de Bordeaux
0;0;0;3323;10580;11330;13841;14417;11584;8648;2830;0;Laurier / de Brébeuf
0;0;0;0;0;0;0;134;7;0;0;0;Laurier / Parisi
0;0;0;1659;4761;5343;6264;6596;6154;5012;1887;0;Laval / du Mont-Royal
0;0;0;1673;5142;5611;6599;7010;8250;7752;2973;0;Laval / Duluth
0;0;0;1491;4482;4957;5558;5690;5983;5299;2034;0;Laval / Rachel
0;0;0;0;0;0;0;17;45;35;19;0;Le Corbusier / St-Martin O
0;0;0;79;306;406;354;163;223;194;82;0;Legrand / Cartier
0;0;0;0;0;0;8;29;0;0;0;0;Legrand / Laurier
0;0;0;302;985;1063;1204;1205;965;812;347;0;Leman / de Chateaubriand
0;0;0;211;497;597;688;733;612;101;0;0;Lespérance / de Rouen
0;0;0;0;0;0;0;195;0;0;0;0;Letourneaux / Ste-Catherine
0;0;0;199;787;826;899;901;887;699;276;0;Letourneux / Hochelaga
0;0;0;355;1137;1415;1587;2598;2641;2022;763;0;Letourneux / Ste-Catherine
0;0;0;610;2060;2312;1649;2324;2298;1801;599;0;Lincoln / du Fort
0;0;0;383;1046;1130;1299;1333;950;373;115;0;Lionel-Groulx / George-Vanier
0;0;0;210;612;627;750;707;585;433;139;0;Liébert / Hochelaga
0;0;0;270;905;1742;2099;2092;1630;1443;556;0;Logan / d'Iberville
0;0;0;924;2693;3050;3228;3210;2864;2401;882;0;Logan / de Champlain
0;0;0;798;2422;2830;2912;2890;2690;2020;755;0;Logan / Fullum
0;0;0;1150;3138;3566;3868;4208;3865;3341;1289;0;Louis-Hébert / Beaubien
0;0;0;431;1307;1530;1723;1635;1577;1247;474;0;Louis-Hébert / Bélanger
0;0;0;658;2240;2609;2926;2787;2734;2377;919;0;Louis-Hébert / de Bellechasse
0;0;0;502;1394;1364;1502;1615;1595;1450;573;0;Louis-Hébert / St-Zotique
0;0;0;655;1852;2055;2219;2209;2164;1631;686;0;Louis-Hémon / Jean-Talon
0;0;0;844;2159;2512;3040;3158;2793;2640;910;0;Louis-Hémon / Rosemont
0;0;0;414;962;586;676;529;0;0;0;0;Louis-Hémon / Villeray
0;0;0;0;0;8;166;352;404;220;90;0;Louisbourg / O'brien
0;0;0;478;1749;2083;2061;1940;1782;1217;236;0;Lucien L'Allier / St-Jacques
0;0;0;222;729;681;446;437;411;274;122;0;Lusignan / St-Jacques
0;0;0;1826;5697;6637;6862;6494;4756;3126;1068;0;Léa-Roback / Sir-Georges-Etienne-Cartier
0;0;0;1525;7289;8044;8757;8789;10365;8475;3191;0;Mackay / de Maisonneuve
0;0;0;0;1442;1671;2371;2422;2453;1989;350;0;Mackay / Sainte-Catherine
0;0;0;849;3042;3164;3142;3202;3026;2762;1522;0;Mackay / Ste-Catherine
0;0;0;738;2208;2227;2745;2892;2897;2584;1132;0;Maguire / Henri-Julien
0;0;0;0;0;0;0;360;1322;1123;284;0;Maguire / Saint-Dominique
0;0;0;0;0;0;0;0;0;0;190;0;Maguire / St-Dominique
0;0;0;1497;4605;5253;6023;6381;6040;5090;1919;0;Maguire / St-Laurent
0;0;0;43;141;160;190;167;142;153;31;0;Mairie d'arrondissement LaSalle (Dupras / Jeannette)
0;0;0;54;79;102;84;112;89;128;53;0;Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi)
0;0;0;0;0;0;0;162;227;181;66;0;Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin)
0;0;0;0;0;203;1172;1196;797;861;360;0;Mansfield / Cathcart
0;0;0;1332;4436;3973;3237;3005;2485;1909;847;0;Mansfield / Ste-Catherine
0;0;0;2297;7486;6901;8370;7595;6130;4367;1452;0;Marché Atwater
0;0;0;0;1968;2449;3159;2903;2100;1847;709;0;Marché Jean-Talon (Casgrain / Shamrock)
0;0;0;1660;4820;4859;6096;6288;5173;4072;1378;0;Marché Jean-Talon (Henri-Julien / Jean-Talon)
0;0;0;842;2870;3326;3771;3659;3124;2420;885;0;Marché Maisonneuve
0;0;0;827;2487;2907;3113;2476;2700;1975;786;0;Marcil / Sherbrooke
0;0;0;1580;4049;4564;4886;5275;2780;1956;765;0;Marie-Anne / de la Roche
0;0;0;603;1734;2115;2174;3193;4200;3854;1692;0;Marie-Anne / Papineau
0;0;0;1221;3537;4038;4277;4067;4020;3707;1519;0;Marie-Anne / St-Hubert
0;0;0;7;0;0;0;0;0;0;0;0;Marmier
0;0;0;1529;4713;6059;7251;7426;7015;6225;2623;0;Marmier / St-Denis
0;0;0;760;2464;2782;2944;3131;2767;2224;734;0;Marquette / des Carrières
0;0;0;3755;10775;13184;15435;16222;14530;12884;4957;0;Marquette / du Mont-Royal
0;0;0;271;743;833;900;879;844;694;272;0;Marquette / Fleury
0;0;0;689;1648;1893;3248;3287;3504;3161;1213;0;Marquette / Gilford
0;0;0;331;775;900;898;257;0;0;0;0;Marquette / Jean-Talon
0;0;0;2292;6428;7209;8114;8259;7996;7110;2659;0;Marquette / Laurier
0;0;0;2194;5851;6046;6674;6357;6216;5056;1941;0;Marquette / Rachel
0;0;0;709;1925;2110;2414;2333;2469;1942;806;0;Marquette / Villeray
0;0;0;0;0;0;0;54;41;24;15;0;Mayfield / St-Martin O
0;0;0;254;812;792;771;1244;1471;1197;473;0;McCulloch / de la Côte Ste-Catherine
0;0;0;866;3433;3520;2822;3305;3871;2850;1151;0;McKenna / Édouard-Montpetit
0;0;0;245;955;1129;1260;1242;1014;632;170;0;McLynn / Plamondon
0;0;0;0;0;0;0;28;54;40;13;0;McNamara / St-Martin O
0;0;0;2481;7254;7000;7164;8356;14339;12250;5399;0;McTavish / Sherbrooke
0;0;0;465;1887;2002;2490;2587;2715;2309;833;0;Melville / de Maisonneuve
0;0;0;1531;4366;5137;6067;6765;5708;4916;1873;0;Messier / du Mont-Royal
0;0;0;705;1609;1677;1671;1687;1894;1949;948;0;Messier / St-Joseph
0;0;0;791;2513;2914;2984;2866;2761;2412;958;0;Metcalfe / de Maisonneuve
0;0;0;704;2319;2807;2323;2749;2542;2056;809;0;Metcalfe / du Square-Dorchester
0;0;0;547;3309;3953;4595;4625;5098;4374;1675;0;Metcalfe / St-Catherine
0;0;0;128;414;462;580;499;351;258;96;0;Michelet / Jean-Talon
0;0;0;2107;7257;9410;9156;10129;10536;8421;3037;0;Milton / Clark
0;0;0;1957;6184;6870;7378;7328;8367;6994;2739;0;Milton / du Parc
0;0;0;2332;6845;7067;6933;7830;9108;7307;3069;0;Milton / Durocher
0;0;0;930;2785;3214;3400;3602;3147;2488;894;0;Molson / Beaubien
0;0;0;900;1882;2028;2263;2511;2323;1820;796;0;Molson / William-Tremblay
0;0;0;285;829;858;1094;1098;861;667;235;0;Monk / Biencourt
0;0;0;0;44;400;498;341;0;0;0;0;Monk / de Biencourt
0;0;0;0;0;0;0;137;584;511;182;0;Monk / Jacques-Hertel
0;0;0;167;766;1065;1335;1354;1081;742;176;0;Monsabré / Boileau
0;0;0;1019;2317;2876;3011;2515;2403;2539;1058;0;Montcalm / de Maisonneuve
0;0;0;618;1489;1649;1965;1989;2346;1856;658;0;Montcalm / Ontario
0;0;0;0;0;0;0;0;899;1516;588;0;Montmorency / Richardson
0;0;0;676;205;0;0;0;0;0;0;0;Mozart / Casgrain
0;0;0;949;2786;1935;1221;3038;2874;2585;1017;0;Mozart / St-Laurent
0;0;0;309;764;1286;1639;1648;1295;1089;439;0;Mozart / Waverly
0;0;0;491;1435;1701;1957;1797;1848;1493;529;0;Métro Acadie (de l'Acadie / Beaumont)
0;0;0;548;1777;1914;2071;1921;1644;1084;387;0;Métro Angrignon (Lamont /  des Trinitaires)
0;0;0;425;1259;1486;1407;1547;1450;1114;437;0;Métro Assomption (Chauveau / de l'Assomption)
0;0;0;3172;11040;12305;13627;14104;12383;9845;3624;0;Métro Atwater (Atwater / Ste-Catherine)
0;0;0;2219;6158;7126;8215;8875;7770;7081;2793;0;Métro Beaubien (de Chateaubriand / Beaubien)
0;0;0;0;0;0;0;0;1383;18;0;0;Métro Beaudry ( Beaudry / Ste-Catherine)
0;0;0;0;0;0;0;0;51;1726;0;0;Métro Beaudry ( Montcalm / Ste-Catherine)
0;0;0;0;0;0;0;0;0;186;910;0;Métro Beaudry (Beaudry / Ste-Catherine)
0;0;0;1139;4192;4406;4629;3898;3546;2064;780;0;Métro Beaudry (Montcalm / de Maisonneuve)
0;0;0;817;2940;3264;3203;3397;3187;2736;1123;0;Métro Bonaventure (de la Gauchetière / de la Cathédrale)
0;0;0;0;0;0;0;298;716;529;225;0;Métro Cadillac (Cadillac / Sherbrooke)
0;0;0;542;1663;1485;747;1315;697;578;144;0;Métro Cadillac (de Cadillac / Sherbrooke)
0;0;0;171;484;561;593;594;285;336;94;0;Métro Cartier
0;0;0;1025;3307;3723;4528;4409;3604;2607;955;0;Métro Champ-de-Mars (Viger / Sanguinet)
0;0;0;1312;3850;4218;4811;4514;4346;3383;1265;0;Métro Charlevoix (Centre / Charlevoix)
0;0;0;648;2027;2289;2527;2692;2898;2416;1065;0;Métro Crémazie (Crémazie / Lajeunesse)
0;0;0;782;2567;2783;3080;3287;3042;2589;888;0;Métro de Castelnau (de Castelnau / St-Laurent)
0;0;0;895;2764;3349;4076;3737;2866;2057;734;0;Métro de l'Église (Ross / de l'Église)
0;0;0;28;107;167;198;176;183;114;42;0;Métro de la Concorde (Léo-Lacombe)
0;0;0;168;477;650;636;753;652;469;163;0;Métro de la Savane (de Sorel / Bougainville)
0;0;0;200;558;888;945;1014;799;549;238;0;Métro du Collège (Cartier / Décarie)
0;0;0;344;1098;1241;1236;1970;2420;2193;838;0;Métro Fabre (Marquette / Jean-Talon)
0;0;0;1104;3354;3976;4748;4700;4107;3423;1317;0;Métro Frontenac (Ontario / du Havre)
0;0;0;742;2268;2509;2765;2742;2392;1966;836;0;Métro Georges-Vanier (St-Antoine / Canning)
0;0;0;2692;8588;9273;8174;3937;4676;3601;1139;0;Métro Guy-Concordia (Guy / St-Catherine)
0;0;0;471;1581;1640;1947;2039;1736;1337;444;0;Métro Henri-Bourassa (Henri-Bourassa / Millen)
0;0;0;362;1177;1409;1478;1477;1364;1027;409;0;Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand)
0;0;0;727;2627;3015;3433;5044;5076;4320;1643;0;Métro Jarry (Lajeunesse / Jarry)
0;0;0;1110;2875;3465;3969;3995;3783;3329;1273;0;Métro Jean-Talon (Berri / Jean-Talon)
0;0;0;408;1362;1556;1682;1801;1694;1238;446;0;Métro Jolicoeur (de Sève / Drake)
0;0;0;1204;3595;4300;4920;5107;4808;3691;1421;0;Métro Joliette  (Joliette / Hochelaga)
0;0;0;360;1303;1380;1445;1420;1302;944;343;0;Métro Langelier (Langelier / Sherbrooke)
0;0;0;1081;3103;3530;3731;3932;3539;2505;1017;0;Métro Lasalle (de Rushbrooke / Caisse)
0;0;0;0;0;0;0;5693;6086;5515;2246;0;Métro Laurier (Berri / Laurier)
0;0;0;1188;3564;3614;3699;4689;4327;3791;1611;0;Métro Laurier (Berri / St-Joseph)
0;0;0;187;4367;2113;0;0;0;0;0;0;Métro Laurier (Bibaud / Rivard)
0;0;0;3084;3597;7291;10939;4089;5381;4550;1832;0;Métro Laurier (Rivard / Laurier)
0;0;0;0;0;0;893;1171;1396;960;230;0;Métro Lionel-Groulx (Saint-Jacques/ Atwater)
0;0;0;552;2310;2677;3039;2860;2509;1941;959;0;Métro Lionel-Groulx (St-Jacques / Atwater)
0;0;0;0;215;709;173;0;0;0;0;0;Métro Lionel-Groulx (Walker / Saint-Jacques)
0;0;0;238;1060;1283;1454;1374;1350;897;255;0;Métro Longueuil - Université de Sherbrooke
0;0;0;574;1889;2221;2501;2218;2340;2063;1011;0;Métro Lucien-L'Allier  (Lucien l'Allier / Argyle)
0;0;0;598;1861;2099;2679;2301;2128;1548;541;0;Métro Monk (Allard / Beaulieu)
0;0;0;4709;14876;19433;22999;24080;22745;17748;6815;0;Métro Mont-Royal (Rivard / du Mont-Royal)
0;0;0;112;411;408;467;589;281;320;145;0;Métro Montmorency
0;0;0;2399;7633;9263;10948;10901;9137;7155;2676;0;Métro Papineau (Cartier / Ste-Catherine)
0;0;0;1086;3560;3978;4267;4801;4318;3543;1352;0;Métro Parc  (Hutchison / Ogilvy)
0;0;0;1355;8165;10122;10797;11249;10468;7862;3122;0;Métro Peel (de Maisonneuve / Stanley)
0;0;0;395;1316;2523;3136;3565;3207;2471;976;0;Métro Pie-IX (Pierre-de-Coubertin / de la Salle)
0;0;0;402;1252;102;0;0;0;0;0;0;Métro Pie-IX (Pierre-de-Coubertin / De La Salle) (2)
0;0;0;1141;3689;4344;4253;4321;4004;2992;1188;0;Métro Place St-Henri (St-Ferdinand / St-Jacques)
0;0;0;845;2980;3763;4136;3882;3064;2207;606;0;Métro Place-d'Armes (Viger / St-Urbain)
0;0;0;909;3970;4453;4402;5457;6183;4453;1589;0;Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance)
