J;F;M;A;M;J;J;A;S;O;N;D;Station
0;0;0;327;1062;1139;1291;1466;1251;1050;428;0;Bennett / Adam
0;0;0;697;2191;2405;2765;2674;2144;1575;573;0;Bennett / Pierre-de-Coubertin
0;0;0;345;812;911;864;0;0;0;0;0;Bennett / Ste-Catherine
0;0;0;267;1633;2081;2497;2331;2097;1332;459;0;Benny / Sherbrooke
0;0;0;950;2582;2935;2847;2891;2861;2294;869;0;Bercy / Rachel
0;0;0;280;1079;1152;1257;1271;1029;696;228;0;Berlioz / de l'Île des Soeurs
0;0;0;1093;4815;6458;7450;7488;7905;6795;2562;0;Bernard / Jeanne-Mance
0;0;0;1557;4560;5576;5760;6132;6149;5145;1864;0;Bernard / St-Urbain
0;0;0;2127;6971;8128;9424;9072;9249;7601;3028;0;Berri / Cherrier
0;0;0;0;0;0;1291;2085;2101;1806;707;0;Berri / Duluth
0;0;0;1341;3839;4287;4864;5022;4923;4012;1712;0;Berri / Rachel
0;0;0;0;0;0;0;213;2598;1757;769;0;Berri /Ste-Catherine
0;0;0;0;0;0;45;0;0;0;0;0;Berri/ Duluth
0;0;0;123;420;509;646;786;874;745;271;0;Beurling / Godin
0;0;0;208;492;581;632;553;637;732;272;0;Bibliothèque d'Ahuntsic (Lajeunesse / Fleury)
0;0;0;372;1098;1227;1223;1155;1022;874;306;0;Bibliothèque de Verdun (Brown / Bannantyne)
0;0;0;114;389;314;275;282;195;171;51;0;Bibliothèque du Boisé (Thimens / Todd)
0;0;0;0;0;0;0;319;392;318;158;0;Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault)
0;0;0;0;0;0;601;1617;1443;1415;581;0;Bibliothèque et Complexe aquatique Rosemont (9e avenue / Rosemont)
0;0;0;30;62;103;171;152;122;111;48;0;Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard)
0;0;0;0;0;2290;0;0;0;0;0;0;Bishop / de Maisonneuve
0;0;0;0;0;0;424;1424;1636;1273;414;0;Bishop / René-Lévesque
0;0;0;1437;3290;4116;4599;4725;4307;1758;541;0;Bishop / Ste-Catherine
0;0;0;0;0;491;319;0;0;0;0;0;Bishop/ René-Lévesque
0;0;0;192;1017;987;621;676;808;802;219;0;Bloomfied / St-Viateur
0;0;0;33;1045;1270;1394;1555;1441;1235;520;0;Bloomfield / Ball
0;0;0;1582;4756;5439;5772;6114;5985;4735;1833;0;Bloomfield / Bernard
0;0;0;445;1515;1685;1870;1842;1463;1204;434;0;Bloomfield / Jean-Talon
0;0;0;726;2200;2866;3068;2938;2925;2489;963;0;Bloomfield / Van Horne
0;0;0;0;0;0;0;0;0;2403;1880;0;Bordeaux / Mont-Royal
0;0;0;0;0;275;1086;86;0;0;0;0;Bossuet / Sherbrooke
0;0;0;1315;3917;4296;4754;4951;4662;3814;1497;0;Boucher / St-Denis
0;0;0;331;1274;1305;1594;1661;1291;985;368;0;Bourbonnière / du Mont-Royal
0;0;0;506;2040;2483;2850;2869;2618;2070;770;0;Bourgeoys / Favard
0;0;0;488;1611;1740;1901;1917;1292;418;151;0;Bourget / St-Jacques
0;0;0;1865;5847;6648;7559;7827;7048;6237;2271;0;Boyer / Beaubien
0;0;0;1422;3781;4137;4590;4848;4443;3921;1443;0;Boyer / Bélanger
0;0;0;3169;10011;12052;13856;14353;12487;9891;3784;0;Boyer / du Mont-Royal
0;0;0;720;2222;2453;2677;2682;2527;2260;924;0;Boyer / Everett
0;0;0;1094;3109;3411;3797;4115;3612;3176;1216;0;Boyer / Jean-Talon
0;0;0;0;0;725;2595;245;0;0;0;0;Boyer / Rachel
0;0;0;1924;5198;6037;6942;6971;4247;5528;2159;0;Boyer / Rosemont
0;0;0;1670;4621;4978;5384;5951;5484;4843;1892;0;Boyer / St-Zotique
0;0;0;159;838;1163;1229;1432;1109;866;309;0;Brittany / Ainsley
0;0;0;195;788;828;1053;1023;827;554;200;0;Bélanger / des Galeries d'Anjou
0;0;0;1578;4981;5347;6246;6095;5554;4750;1746;0;Bélanger / St-Denis
0;0;0;0;0;942;1929;157;0;0;0;0;Bélanger / St-Laurent
0;0;0;768;6589;7445;8236;7780;6655;4275;1518;0;Calixa-Lavallée / Rachel
0;0;0;1799;5374;5440;6118;6031;5304;4125;1541;0;Calixa-Lavallée / Sherbrooke
0;0;0;589;2410;2512;2828;2168;2312;1977;686;0;Campus MIL (Outremont / Thérèse-Lavoie Roux)
0;0;0;354;1044;1383;1800;1803;1653;1467;519;0;Canning / Notre-Dame
0;0;0;519;2082;2283;2528;2385;2195;1783;678;0;Cartier / Bélanger
0;0;0;853;2412;2620;3156;3288;3175;2681;1022;0;Cartier / Dandurand
0;0;0;450;1065;1182;1246;680;0;0;0;0;Cartier / Marie-Anne
0;0;0;1190;3111;3313;3652;3960;3914;3678;1524;0;Cartier / Masson
0;0;0;672;2214;2460;2482;2525;2673;2417;820;0;Cartier / Rosemont
0;0;0;422;2185;2645;2537;2782;2648;2316;895;0;Cartier / St-Joseph
0;0;0;923;2537;2921;3137;2852;1900;1704;761;0;Casgrain / Maguire
0;0;0;537;1578;1536;1862;1823;1802;1318;420;0;Casgrain / Mozart
0;0;0;423;1401;1931;1736;2202;1899;1321;593;0;Casgrain / St-Viateur
0;0;0;300;986;1036;1627;1353;1135;857;324;0;Casino de Montréal
0;0;0;114;626;716;649;694;629;766;320;0;CCI Outremont (Dollard / Durcharme)
0;0;0;61;198;238;293;290;156;200;97;0;Centre des loisirs (Tassé / Grenet)
0;0;0;0;0;0;25;25;20;7;2;0;Centre récréatif Édouard-Rivet (Lesage / Notre-Dame)
0;0;0;525;1564;1714;1804;1885;1643;1283;470;0;Centre ÉPIC (St-Zotique / 40e avenue)
0;0;0;246;929;1116;1219;1374;1345;915;321;0;Chabanel / de l'Esplanade
0;0;0;492;1733;1985;2250;2312;2019;1582;601;0;Chabanel / du Parc
0;0;0;917;2596;3055;3341;3642;3227;2872;1107;0;Chabot / Beaubien
0;0;0;902;2464;2858;2862;3154;2964;2780;1045;0;Chabot / de Bellechasse
0;0;0;2074;5837;7158;9241;9885;8528;4435;982;0;Chabot / du Mont-Royal
0;0;0;0;0;0;0;1061;1555;1314;491;0;Chabot / Laurier
0;0;0;375;1396;1534;1567;1683;1507;1120;375;0;Chabot / Villeray
0;0;0;497;1226;1613;1714;1679;442;0;0;0;Chambord / Beaubien
0;0;0;0;654;839;1059;1001;872;854;358;0;Chambord / de Castelnau
0;0;0;374;1165;1156;1164;1220;1103;932;363;0;Chambord / Fleury
0;0;0;289;725;800;999;896;845;277;0;0;Chambord / Jean-Talon
0;0;0;558;1875;1894;2060;2143;1957;1763;694;0;Chambord/ Beaubien
0;0;0;53;196;356;454;400;366;260;107;0;Champdoré / de Lorimier
0;0;0;713;2043;2544;2977;3008;2657;2110;811;0;Chapleau / du Mont-Royal
0;0;0;467;1236;1501;1640;1592;1524;1247;405;0;Chapleau / Terrasse Mercure
0;0;0;511;1595;1821;2051;1861;1518;1037;459;0;Charlevoix / Lionel-Groulx
0;0;0;2090;6436;7411;8653;7874;6858;2845;1135;0;Chomedey / de Maisonneuve
0;0;0;0;0;0;0;0;190;1687;538;0;Chomedey / Lincoln
0;0;0;782;2214;2517;2754;2579;2314;2077;774;0;Christophe-Colomb / St-Joseph
0;0;0;0;0;0;0;76;164;105;27;0;CHSLD Joseph-François-Perrault (St-Michel / Everett)
0;0;0;0;0;0;0;578;1197;983;418;0;CHSLD Robert Cliche (de Bellechasse / 16e avenue)
0;0;0;67;259;345;386;416;331;408;144;0;CHSLD St-Michel (8e avenue / Jarry)
0;0;0;0;0;0;0;0;0;0;0;0;CHU Sainte-Justine (Côte Sainte-Catherine / Hudson)
0;0;0;0;198;1121;1158;1369;1964;1569;340;0;CHU Sainte-Justine (de la Côte Sainte-Catherine / Hudson)
0;0;0;636;2032;2009;1827;2193;2402;2016;1080;0;CHU Ste-Justine (de la Côte Ste-Catherine / Hudson)
0;0;0;771;2221;2740;2717;2609;3357;2508;925;0;City Councillors / du President-Kennedy
0;0;0;387;1189;1495;2072;1538;1214;967;414;0;Cité des Arts du Cirque (Paul Boutet / des Regrattiers)
0;0;0;142;465;468;241;192;220;139;50;0;CIUSSS (du Trianon / Pierre-de-Coubertin)
0;0;0;390;1525;1662;1736;2012;1803;1476;594;0;Clark / de Liège
0;0;0;326;1042;1229;1391;1437;1258;895;315;0;Clark / Fleury
